_id,text,userid,screen_name,created_at,source,hashtags,symbols,user_mentions,lang,quote_count,reply_count,retweet_count,favorite_count,coordinates,reply,in_reply_to_user_id_str,in_reply_to_status_id_str,in_reply_to_screen_name,quote,quoted_status_id_str,RT,RT_source,nRTin
1334077182629601286,"@sare621107 #RAEconsultas Lo que indica el «DLE» es que se documenta el uso de la palabra «tolteca» con el sentdio de 'lengua que hablaban los toltecas', como en este ejemplo: «Encontramos el maguey amarillo, que en tolteca se llama ""metl coztli""».",350411337,RAEinforma,2020-12-02T10:09:20.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[12,25]}]",[],"[{""screen_name"":""sare621107"",""name"":""Ernesto Salazar"",""id"":319838523,""id_str"":""319838523"",""indices"":[0,11]}]",es,0,0,0,0,,true,319838523,1333899884500373504,sare621107,false,,false,,0
1334077668422201344,"@kunaino #RAEconsultas En efecto, debe de tratarse de una confusión por «atestada», del verbo «atestar» 'meter o colocar excesivo número de personas o cosas en un lugar'.",350411337,RAEinforma,2020-12-02T10:11:16.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[9,22]}]",[],"[{""screen_name"":""kunaino"",""name"":""Kuña"",""id"":491683496,""id_str"":""491683496"",""indices"":[0,8]}]",es,0,0,0,0,,true,491683496,1333911668330553345,kunaino,false,,false,,0
1334078266215452672,"@so3ndok #RAEconsultas Sí, uno de los usos de «saltar» es 'arrojarse desde una altura'. Es un acto voluntario, a diferencia de caerse.",350411337,RAEinforma,2020-12-02T10:13:39.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[9,22]}]",[],"[{""screen_name"":""so3ndok"",""name"":""Tomás Moi"",""id"":{""$numberLong"":""1332657259181187073""},""id_str"":""1332657259181187073"",""indices"":[0,8]}]",es,0,0,0,0,,true,1332657259181187073,1333927618664689667,so3ndok,false,,false,,0
1334078499112542211,"@JorgeBorlandL #RAEconsultas Lo sentimos, pero no es función de este servicio atender consultas sobre la búsqueda del significante adecuado para un objeto o concepto determinado. Esperamos serle de utilidad en otra ocasión.",350411337,RAEinforma,2020-12-02T10:14:34.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[15,28]}]",[],"[{""screen_name"":""JorgeBorlandL"",""name"":""G2 Bolbo"",""id"":{""$numberLong"":""2252063462""},""id_str"":""2252063462"",""indices"":[0,14]}]",es,0,0,0,0,,true,2252063462,1333952130013663232,JorgeBorlandL,false,,false,,0
1334034386526867458,@jandrote #RAEconsultas La grafía del gerundio del verbo «ir» es «yendo» (no *«iendo»).,350411337,RAEinforma,2020-12-02T07:19:17.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[10,23]}]",[],"[{""screen_name"":""jandrote"",""name"":""josue vega"",""id"":124026115,""id_str"":""124026115"",""indices"":[0,9]}]",es,1,0,5,43,,true,124026115,1333979910386438144,jandrote,false,,false,,2
1334078512618205186,,2960149001,LosEstesos,2020-12-02T10:14:38.000Z,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,,,,,,,true,1334034386526867458,
1334080435798892544,"@Alexandros_23 #RAEconsultas De forma general, si introducen un complemento interno al predicado, no se escribe coma (aunque en posición inicial o medial pueden llevarla): «Por eso vine». Si son adjuntos periféricos (externos a la predicación), es preferible la coma: «Por eso, recuérdaselo».",350411337,RAEinforma,2020-12-02T10:22:16.000Z,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{""text"":""RAEconsultas"",""indices"":[15,28]}]",[],"[{""screen_name"":""Alexandros_23"",""name"":""Alexandros"",""id"":{""$numberLong"":""3028025601""},""id_str"":""3028025601"",""indices"":[0,14]}]",es,0,0,0,0,,true,3028025601,1333486280232022016,Alexandros_23,false,,false,,0
1334080996703154178,"@agustinieto #RAEconsultas Hemos documentado su empleo en textos argentinos con el sentido de 'limitar, imponer un cupo a algo'.",350411337,RAEinforma,2020-12-02T10:24:30.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[13,26]}]",[],"[{""screen_name"":""agustinieto"",""name"":""Agucho"",""id"":346635579,""id_str"":""346635579"",""indices"":[0,12]}]",es,0,0,0,0,,true,346635579,1333970954138030080,agustinieto,false,,false,,0
1334082055131553792,"@FADEtumaco #RAEconsultas Parece una creación humorística, acrónimo de «artimaña» y «subterfugio», pero también puede ser una errata por «artilugio».",350411337,RAEinforma,2020-12-02T10:28:42.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[12,25]}]",[],"[{""screen_name"":""FADEtumaco"",""name"":""Fulton Alejandro"",""id"":183444845,""id_str"":""183444845"",""indices"":[0,11]}]",es,0,0,0,0,,true,183444845,1333990093732851714,FADEtumaco,false,,false,,5
1334083181365092352,"@veroalenda #RAEconsultas Voces como «mamá», «papá», «abuela», «tío»... son meros nombres comunes y deben escribirse con minúsculas, por más que su referencia sea concreta en un contexto dado: «No llores, mamá, ya pasará».",350411337,RAEinforma,2020-12-02T10:33:11.000Z,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","[{""text"":""RAEconsultas"",""indices"":[12,25]}]",[],"[{""screen_name"":""veroalenda"",""name"":""Vero Alenda"",""id"":381016033,""id_str"":""381016033"",""indices"":[0,11]}]",es,0,0,0,0,,true,381016033,1334073438462484485,veroalenda,false,,false,,0
